order_item_id,product_id,order_id,ordered_quantity,order_quantity_accepted,rate,Potential sale,Actual Sale,Difference
62838,8425,120360,1,0,3468,3468,0,3468
62839,8422,120363,2,0,5006,10012,0,10012
62840,8782,120366,1,0,3703,3703,0,3703
62841,8390,120369,1,0,1563,1563,0,1563
62842,12404,120372,1,0,4115.82,4115.82,0,4115.82
62843,12749,120375,5,3,4027.25,20136.25,12081.75,8054.5
62844,10235,120378,1,0,1368.99,1368.99,0,1368.99
62845,11123,120378,1,0,6142,6142,0,6142
62846,11124,120378,1,0,886,886,0,886
62847,11138,120378,1,0,6496,6496,0,6496
62848,1043,120381,6,0,20704,124224,0,124224
62849,1043,120384,6,0,20704,124224,0,124224
62850,1043,120387,6,0,20704,124224,0,124224
62851,1041,120390,5,0,4532,22660,0,22660
62852,11107,120393,1,0,3112.09,3112.09,0,3112.09
62853,11123,120396,1,0,4005,4005,0,4005
62854,10235,120399,1,1,1368.99,1368.99,1368.99,0
62855,11123,120399,1,1,4005,4005,4005,0
62856,11123,120399,1,1,6142,6142,6142,0
62857,11124,120399,1,1,886,886,886,0
62858,11138,120399,1,1,6496,6496,6496,0
62859,11189,120402,2,0,4998,9996,0,9996
62860,12702,120402,2,0,2200.85,4401.7,0,4401.7
62861,11899,120405,1,0,11410,11410,0,11410
62862,1038,120408,1,0,6854.56,6854.56,0,6854.56
62863,8712,120411,5,0,5456,27280,0,27280
62864,11125,120414,5,5,1892,9460,9460,0
62865,3279,120417,1,0,5461,5461,0,5461
62866,12702,120420,1,1,2200.85,2200.85,2200.85,0
62867,3603,120423,2,2,5629,11258,11258,0
62868,11146,120426,1,1,3833,3833,3833,0
62869,11146,120426,1,1,4358,4358,4358,0
62870,11905,120426,1,1,4404.66,4404.66,4404.66,0
62871,7528,120429,1,0,7767.8,7767.8,0,7767.8
62872,8422,120429,1,0,6753,6753,0,6753
62873,8422,120429,1,0,5725,5725,0,5725
62874,8424,120429,1,0,8127,8127,0,8127
62875,8424,120429,1,0,7791,7791,0,7791
62876,8424,120429,1,0,7239,7239,0,7239
62877,8444,120429,1,0,5648,5648,0,5648
62878,8444,120429,1,0,5872,5872,0,5872
62879,8444,120429,1,0,5741,5741,0,5741
62880,8457,120429,1,0,15242,15242,0,15242
62881,8457,120429,1,0,16130,16130,0,16130
62882,8457,120429,1,0,15834,15834,0,15834
62883,8457,120429,1,0,15538,15538,0,15538
62884,8210,120432,2,0,12758,25516,0,25516
62885,8425,120435,8,0,3522.2,28177.6,0,28177.6
62886,11154,120438,1,0,10500,10500,0,10500
62887,3615,120441,5,5,4328,21640,21640,0
62888,12407,120444,1,1,11271,11271,11271,0
62889,8428,120447,4,0,724,2896,0,2896
62890,7243,120450,1,0,3165,3165,0,3165
62891,1041,120453,1,1,4240.14,4240.14,4240.14,0
62892,11156,120456,5,5,4474,22370,22370,0
62893,11156,120456,5,5,3897,19485,19485,0
62894,2282,120459,6,0,4000,24000,0,24000
62895,3611,120462,1,0,3149.44,3149.44,0,3149.44
62896,1548,120465,1,0,10509,10509,0,10509
62897,1548,120465,1,0,10763,10763,0,10763
62898,1548,120465,2,0,5551,11102,0,11102
62899,3279,120468,2,0,5264,10528,0,10528
62900,2282,120471,1,0,4000,4000,0,4000
62901,2282,120474,1,0,4000,4000,0,4000
62902,2282,120477,6,6,3960,23760,23760,0
62903,2282,120480,1,1,4000,4000,4000,0
62904,10235,120483,2,0,1368.99,2737.98,0,2737.98
62905,10235,120483,2,0,1324.5,2649,0,2649
62906,3603,120486,2,2,5629,11258,11258,0
62907,8449,120489,1,0,6414,6414,0,6414
62908,8425,120489,2,0,3561,7122,0,7122
62909,8425,120489,2,2,3468,6936,6936,0
62910,1039,120492,2,2,2280,4560,4560,0
62911,8210,120495,1,0,12527,12527,0,12527
62912,8210,120495,1,0,12758,12758,0,12758
62913,8210,120495,1,0,6762,6762,0,6762
62914,11154,120498,1,1,9870,9870,9870,0
62915,11172,120498,1,1,2684,2684,2684,0
62916,11899,120498,1,0,11410,11410,0,11410
62917,7754,120501,1,0,1325,1325,0,1325
62918,2862,120504,1,0,4200,4200,0,4200
62919,12677,120504,2,2,2142.86,4285.72,4285.72,0
62920,12679,120504,1,1,2380.95,2380.95,2380.95,0
62921,12681,120504,1,1,3452.38,3452.38,3452.38,0
62922,12688,120504,1,1,1023.81,1023.81,1023.81,0
62923,1548,120507,4,4,10509,42036,42036,0
62924,1548,120507,1,1,10763,10763,10763,0
62925,2853,120510,1,0,605,605,0,605
62926,7541,120513,1,0,1624,1624,0,1624
62927,7872,120513,1,0,2003,2003,0,2003
62928,7872,120513,1,0,1214,1214,0,1214
62929,11124,120513,1,0,682,682,0,682
62930,11124,120513,1,0,730,730,0,730
62931,11107,120516,2,2,3112.09,6224.18,6224.18,0
62932,8438,120519,4,0,3324,13296,0,13296
62933,11907,120522,2,0,4264,8528,0,8528
62934,8428,120525,2,0,802,1604,0,1604
62935,11189,120528,1,1,4998,4998,4998,0
62936,3279,120531,2,2,5461,10922,10922,0
62937,11105,120534,2,0,23015,46030,0,46030
62938,8210,120537,1,0,13615,13615,0,13615
62939,10235,120540,6,6,1368.99,8213.94,8213.94,0
62940,10235,120540,3,0,1324.5,3973.5,0,3973.5
62941,1548,120543,1,1,10763,10763,10763,0
62942,12652,120546,2,2,7203.4,14406.8,14406.8,0
62943,8622,120549,1,0,30450,30450,0,30450
62944,10204,120552,1,0,3055,3055,0,3055
62945,8210,120555,2,2,13615,27230,27230,0
62946,3279,120558,1,1,5461,5461,5461,0
62947,1038,120561,1,0,6985.33,6985.33,0,6985.33
62948,11104,120564,1,0,11277,11277,0,11277
62949,7640,120567,10,0,14617,146170,0,146170
62950,7640,120567,13,0,12883.8,167489.4,0,167489.4
62951,7541,120570,1,0,1624,1624,0,1624
62952,7869,120570,2,0,3381,6762,0,6762
62953,7869,120570,2,0,3540,7080,0,7080
62954,8335,120570,3,2,2597,7791,5194,2597
62955,11106,120570,2,1,4183,8366,4183,4183
62956,11106,120570,2,2,3612,7224,7224,0
62957,11106,120570,1,0,3822,3822,0,3822
62958,11136,120570,2,0,2546,5092,0,5092
62959,8210,120570,1,1,6592,6592,6592,0
62960,7640,120573,13,0,14617,190021,0,190021
62961,7640,120573,20,0,12883.8,257676,0,257676
62962,2367,120576,10,10,450,4500,4500,0
62963,2862,120579,1,1,4200,4200,4200,0
62964,11117,120582,1,0,3528,3528,0,3528
62965,11117,120582,1,0,3119,3119,0,3119
62966,7271,120585,1,0,2371,2371,0,2371
62967,11136,120588,1,0,2498,2498,0,2498
62968,1041,120591,1,0,5738,5738,0,5738
62969,8425,120594,1,0,4106,4106,0,4106
62970,8219,120597,3,0,13288.2,39864.6,0,39864.6
62971,8299,120600,1,0,3183,3183,0,3183
62972,12744,120603,20,20,530,10600,10600,0
62973,3610,120606,10,0,12364,123640,0,123640
62974,7504,120609,1,0,4025.43,4025.43,0,4025.43
62975,1039,120612,5,5,2236,11180,11180,0
62976,7504,120615,1,0,4025.43,4025.43,0,4025.43
62977,7504,120618,1,1,4025.43,4025.43,4025.43,0
62978,8444,120621,1,0,6156,6156,0,6156
62979,8425,120624,18,0,3522.2,63399.6,0,63399.6
62980,9916,120627,5,0,2722.88,13614.4,0,13614.4
62981,11110,120630,1,0,2552,2552,0,2552
62982,10235,120633,2,2,1350,2700,2700,0
62983,9916,120633,5,5,2722.88,13614.4,13614.4,0
62984,8623,120636,1,0,23136.6,23136.6,0,23136.6
62985,7640,120639,1,0,14617,14617,0,14617
62986,7640,120639,23,23,12883.8,296327.4,296327.4,0
62987,11125,120642,20,20,2030,40600,40600,0
62988,8425,120645,15,15,3522.2,52833,52833,0
62989,7921,120648,1,0,1056.8,1056.8,0,1056.8
62990,3234,120651,4,3,10700,42800,32100,10700
62991,10224,120654,1,0,4105.22,4105.22,0,4105.22
62992,10224,120654,1,0,4283.19,4283.19,0,4283.19
62993,10224,120654,1,0,4461.15,4461.15,0,4461.15
62994,11156,120657,3,3,4096,12288,12288,0
62995,9925,120660,2,0,3096.61,6193.22,0,6193.22
62996,11125,120663,2,0,1892,3784,0,3784
62997,1548,120666,1,0,10509,10509,0,10509
62998,10204,120669,1,0,3055,3055,0,3055
62999,10204,120669,3,3,3479,10437,10437,0
63000,11107,120672,4,0,3112.09,12448.36,0,12448.36
63001,8425,120675,1,1,4007,4007,4007,0
63002,10209,120678,1,0,2754.24,2754.24,0,2754.24
63003,8452,120681,1,0,6702,6702,0,6702
63004,11111,120681,1,0,27710,27710,0,27710
63005,11169,120681,1,0,2741,2741,0,2741
63006,7607,120684,1,0,6408,6408,0,6408
63007,10553,120687,5,0,4372,21860,0,21860
63008,8751,120690,1,0,4130,4130,0,4130
63009,7526,120693,1,0,5932.2,5932.2,0,5932.2
63010,8325,120696,2,0,10900.4,21800.8,0,21800.8
63011,8326,120699,2,2,3470.33,6940.66,6940.66,0
63012,3234,120702,4,4,1337.5,5350,5350,0
63013,8441,120705,1,0,2882,2882,0,2882
63014,8441,120705,1,0,3001,3001,0,3001
63015,8438,120708,1,0,3393,3393,0,3393
63016,8438,120708,1,0,3629,3629,0,3629
63017,8438,120708,1,0,3324,3324,0,3324
63018,8438,120708,1,0,3511,3511,0,3511
63019,10235,120708,1,0,1350,1350,0,1350
63020,8428,120708,1,0,1635,1635,0,1635
63021,8219,120711,40,40,13288.2,531528,531528,0
63022,8219,120711,10,10,13488.3,134883,134883,0
63023,10235,120714,5,0,1350,6750,0,6750
63024,8452,120717,1,0,6702,6702,0,6702
63025,11111,120717,1,0,27710,27710,0,27710
63026,10235,120720,5,0,1350,6750,0,6750
63027,8664,120723,5,0,2288.2,11441,0,11441
63028,8664,120726,5,0,2288.2,11441,0,11441
63029,12700,120729,3,0,6940.7,20822.1,0,20822.1
63030,7640,120732,3,0,12883.8,38651.4,0,38651.4
63031,3276,120735,1,0,2961,2961,0,2961
63032,7640,120738,4,4,12883.8,51535.2,51535.2,0
63033,8428,120741,10,10,1540,15400,15400,0
63034,12652,120744,20,20,7203.4,144068,144068,0
63035,8335,120747,2,2,2597,5194,5194,0
63036,1548,120750,1,0,10509,10509,0,10509
63037,1548,120750,1,0,10763,10763,0,10763
63038,1548,120750,1,0,5090,5090,0,5090
63039,11899,120753,6,0,11857,71142,0,71142
63040,12691,120756,2,2,1023.81,2047.62,2047.62,0
63041,2862,120759,1,0,4200,4200,0,4200
63042,7804,120762,1,1,2531,2531,2531,0
63043,7872,120762,2,2,2003,4006,4006,0
63044,7896,120762,1,1,4166,4166,4166,0
63045,8210,120765,1,0,13584.9,13584.9,0,13584.9
63046,3269,120765,1,0,10062,10062,0,10062
63047,8435,120765,1,0,11971,11971,0,11971
63048,8435,120765,1,0,11626,11626,0,11626
63049,10236,120765,1,0,1302.25,1302.25,0,1302.25
63050,10236,120765,1,0,1257.76,1257.76,0,1257.76
63051,10529,120765,1,0,14065,14065,0,14065
63052,11136,120765,1,0,2559,2559,0,2559
63053,11139,120765,1,0,4284,4284,0,4284
63054,11139,120765,2,0,3995.73,7991.46,0,7991.46
63055,11187,120765,1,0,6121,6121,0,6121
63056,11731,120765,1,0,4947.59,4947.59,0,4947.59
63057,8425,120768,2,0,4007,8014,0,8014
63058,8325,120771,2,2,10900.4,21800.8,21800.8,0
63059,8325,120771,2,2,12235.2,24470.4,24470.4,0
63060,8325,120771,2,2,14014.8,28029.6,28029.6,0
63061,8325,120771,2,1,15349.6,30699.2,15349.6,15349.6
63062,2282,120774,1,0,4000,4000,0,4000
63063,11156,120777,1,0,3896,3896,0,3896
63064,1043,120780,3,3,41408,124224,124224,0
63065,1041,120783,5,5,4532,22660,22660,0
63066,1041,120786,5,0,4532,22660,0,22660
63067,8335,120789,1,0,2597,2597,0,2597
63068,7271,120792,1,0,2371,2371,0,2371
63069,12749,120795,2,0,4027.25,8054.5,0,8054.5
63070,7271,120798,1,1,2371,2371,2371,0
63071,8444,120798,1,1,6156,6156,6156,0
63072,8444,120801,1,0,3166.8,3166.8,0,3166.8
63073,1043,120804,1,1,21728,21728,21728,0
63074,11147,120807,2,2,1365,2730,2730,0
63075,11147,120807,3,3,1444,4332,4332,0
63076,11146,120810,1,0,3674.88,3674.88,0,3674.88
63077,11146,120810,1,0,4367,4367,0,4367
63078,3279,120813,2,0,5044,10088,0,10088
63079,3620,120813,1,0,5536,5536,0,5536
63080,1805,120816,3,3,18732.9,56198.7,56198.7,0
63081,1038,120819,1,1,6854,6854,6854,0
63082,8428,120822,2,0,1635,3270,0,3270
63083,3269,120825,1,0,9010,9010,0,9010
63084,10975,120828,1,1,18687.5,18687.5,18687.5,0
63085,11899,120831,3,0,11410,34230,0,34230
63086,8420,120834,1,0,6460,6460,0,6460
63087,10235,120837,2,0,1350,2700,0,2700
63088,10235,120837,2,0,1325,2650,0,2650
63089,11899,120840,3,0,11410,34230,0,34230
63090,10235,120843,2,2,1350,2700,2700,0
63091,10235,120843,2,2,1325,2650,2650,0
63092,10235,120846,4,4,1368.99,5475.96,5475.96,0
63093,10235,120846,2,2,1324.5,2649,2649,0
63094,8428,120849,2,0,1635,3270,0,3270
63095,10235,120852,4,0,1350,5400,0,5400
63096,9796,120855,1,0,2656.8,2656.8,0,2656.8
63097,7586,120858,3,0,10027.1,30081.3,0,30081.3
63098,1041,120861,1,0,4693.47,4693.47,0,4693.47
63099,1040,120864,1,0,6673.98,6673.98,0,6673.98
63100,3615,120867,1,0,4328,4328,0,4328
63101,8428,120867,3,0,798,2394,0,2394
63102,8482,120870,1,0,5218,5218,0,5218
63103,2282,120873,80,0,4000,320000,0,320000
63104,2282,120876,4,4,4000,16000,16000,0
63105,11264,120879,1,0,3160,3160,0,3160
63106,11161,120882,1,0,6783,6783,0,6783
63107,11104,120885,1,0,11225,11225,0,11225
63108,8362,120888,1,0,3037,3037,0,3037
63109,11140,120891,1,0,4331,4331,0,4331
63110,8664,120894,1,0,2288.2,2288.2,0,2288.2
63111,11143,120897,1,0,3266,3266,0,3266
63112,12762,120900,2,0,798.02,1596.04,0,1596.04
63113,12749,120903,1,0,4027.25,4027.25,0,4027.25
63114,10404,120906,1,0,7203,7203,0,7203
63115,2862,120909,1,0,4200,4200,0,4200
63116,7538,120912,1,0,4328,4328,0,4328
63117,8807,120912,1,0,6023,6023,0,6023
63118,11106,120912,1,0,4183,4183,0,4183
63119,11160,120912,1,0,6357,6357,0,6357
63120,11172,120912,1,0,2709,2709,0,2709
63121,1040,120915,100,100,3435,343500,343500,0
63122,1038,120915,10,0,7246.87,72468.7,0,72468.7
63123,8425,120918,2,0,3522.2,7044.4,0,7044.4
63124,8425,120918,1,0,3619.5,3619.5,0,3619.5
63125,10975,120921,1,0,8453.39,8453.39,0,8453.39
63126,8221,120924,2,0,2726.15,5452.3,0,5452.3
63127,8219,120927,1,0,13488.3,13488.3,0,13488.3
63128,8425,120930,1,0,3522.2,3522.2,0,3522.2
63129,8425,120930,2,0,3619.5,7239,0,7239
63130,12806,120930,1,0,25423.7,25423.7,0,25423.7
63131,8664,120933,1,0,2288.2,2288.2,0,2288.2
63132,11143,120933,1,0,3266,3266,0,3266
63133,12749,120933,1,0,4027.25,4027.25,0,4027.25
63134,12762,120933,2,0,798.02,1596.04,0,1596.04
63135,3284,120936,4,0,3250,13000,0,13000
63136,3284,120936,2,0,3437,6874,0,6874
63137,3284,120936,4,0,3306,13224,0,13224
63138,10227,120939,5,5,1369.92,6849.6,6849.6,0
63139,10235,120942,2,0,1350,2700,0,2700
63140,10235,120942,2,0,1325,2650,0,2650
63141,7767,120945,1,0,735,735,0,735
63142,10235,120948,10,10,1325,13250,13250,0
